Exp SGD / Hoja de Ruta / Otro,ÍTEM ACTIVIDADES POR  ATENDER - ASUNTOS ( En Orden de Prelación),ACCIÓN(es) A REALIZAR ,DEPENDENCIA RENIEC / ENTIDAD / PERSONA NATURAL - JURIDICA ,DETALLE,EQUIPO POR  SUBSISTEMA,EQUIPO  POR PROCESO,SOCIO (S) ESTRAT  RESPONSABLE(S),ENTREGABLE / MEDIO DE VERIFICACIÓN,PLAZO - HASTA,SITUACIÓN ,ESTADO,AVANCE / OBS / RECOMENDACIÓN / NOTA
,ACTUALIZAR CAP-P Vr10.25. / MCC Vr.12.25 / PAP Vr02.26 - Nuevas Oficina deDescentralizadas,,,,,,,,,,,
,Gestionara Modificación de ampliación de Puestos de Confianza ( 83 : antes 16 ahora 25),,,,,,,,,,,
,INFORMES ESCALAFONARIOS para STPAD,,,,,,,,,,,
,"Reporte PEAS, Contratos, Vacaciones, LIcencias, Permisos etc",,,,,,,,,,,
,Legajos,,,,,,,,,,,
,DDJJ PLANILLAS DE PAGO ANTE SUNAT,GESTIONAR LA PRESENTACIÓN DE LA  DDJJ DE LAS PLANILLAS DE PAGO Y TRIBUTOS A TRAVES DEL SISTEMA ELECTRÓNICO -PLANILLA ELECTRÓNICA PDT PLAME,SUNAT,,Ss3: GESTIÓN DEL EMPLEO,Ss5-P15.- Administración de Remuneraciones - Compensaciones,MARIA MARQUEZ,DDJJ -OPH/ESSALUD/MINTRA/SUNAFIL,DENTRO DEL CRONOGRAMA DE LA SUNAT,DENTRO DEL PLAZO,EN PROCESO DE ATENCION,VENCIMIENTO LUNES 27 DE ABRIL DEL 2026 / NO EXISTEN MULTAS POR DDJJ DE PLANILLAS DE PAGO.
,CONCILIACIONES ESTADOS FINANCIEROS,"EFECTUAR LA CONCILIACIÓN, ANALISIS Y VALIDACIÓN DE LA CONSISTENCIA ENTRE LA FASE DEL COMPROMISO DEL GASTO DE PERSONAL Y FASE DEL DEVENGADO FINANCIERO.",RENIEC,,Ss3: GESTIÓN DEL EMPLEO,Ss5-P15.- Administración de Remuneraciones - Compensaciones,MARIA MARQUEZ,INFORME A SGEN,INFORME SEMESTRAL,DENTRO DEL PLAZO,EN PROCESO DE ATENCION,
,APP AIRHSP,"REGISTRO DE PERSONAL INGRESANTE ALTAS DE PERSONAL, BAJAS  Y ACTUALIZACIONES.",RENIEC,,Ss3: GESTIÓN DEL EMPLEO,Ss5-P15.- Administración de Remuneraciones - Compensaciones,MARIA MARQUEZ, REPORTE DE PLANILLAS Y APP.,ANTES DE FECHA DE PAGO,MUY URGENTE,EN PROCESO DE ATENCION,
,MÓDULO DE CREACIÓN DE REGISTROS CAS - MCAR,AMPLIACIÓN DE REGISTRO CAS   TRANSITORIOS Y ELECTORALES ,RENIEC,,Ss3: GESTIÓN DEL EMPLEO,Ss5-P15.- Administración de Remuneraciones - Compensaciones,MARIA MARQUEZ,APLICATIVO AIRHSP ACTUALIZADO,ANTES DEL 15 DE MAYO DEL 2026,MUY URGENTE,EN PROCESO DE ATENCION,EXISTEN CONTRATOS CAS TRANSITORIOS QUE VENCEN EL 31.05.2026 SE DEBE SOLICITAR DE LOS QUE CORRESPONDAN AMPLIACIÓN DEL PLAZO DEL REGISTRO CAS.
,COMPENSACIONES Y DISPENSAS,Unificar el pedido de las unidades y enviar al JNE,RENIEC,BENJAMIN,Ss3: GESTIÓN DEL EMPLEO,Ss3-P9.- Administración de Legajos,BENJAMIN CAPARO,OFICIO AL JNE,NO TIENE PLAZO,DENTRO DEL PLAZO,PENDIENTE DE ATENDER,
,RNSCSC,,,,,,,,,,,
,FOTOCHECKs,,,,,,,,,,,
,TRANF PENSIONITAS A ONP,,,,,,,,,,,
,REMISION INFORMACIÓN A SERVIR,,,,,,,,,,,
,REMISION DE LEGAJOS DE PENSIONISTAS A LA ONP,Gestionar la remisión física de los legajos de pensionistas a la ONP.,OTRO/A,Pendiente de hacer el inventario de los legajos y el foliado respectivo,Ss3: GESTIÓN DEL EMPLEO,Ss3-P9.- Administración de Legajos,CARLOS LUCAR,Oficio,21/04/2026,FUERA DE PLAZO,EN PROCESO DE ATENCION,Los legajos ya fueron ubicados y se encuentra en proceso de organización para su inventario y foliación. 
,CREACION DE LEGAJOS FISICOS AL NUEVO PERSONAL CAS (2026),Aperturar nuevos legajos CAS para su custodia y atención.,RENIEC,Se debe crear nuevos legajos y registrar en los registros de control para su consulta.,Ss3: GESTIÓN DEL EMPLEO,Ss3-P9.- Administración de Legajos,CARLOS LUCAR,Reportes de la supervision de legajos,SIN PLAZO,URGENTE,PENDIENTE DE ATENDER,
,REGISTRAR NUEVOS CONTRATOS CAS Y SUS SUSTENTO PARA SU ARCHIVAMIENTO EN ESTACION DE TRABAJO DE LEGAJOS,Mantener actualizado el control de los nuevos contratos y sus sustentos recibidos en el área de legajos,RENIEC,Se debe registrar en Excel los nuevos contrato para su control en la recepcion y asignación al personal de legajos.,Ss3: GESTIÓN DEL EMPLEO,Ss3-P9.- Administración de Legajos,CARLOS LUCAR,Reportes de la supervision de legajos,SIN PLAZO,URGENTE,PENDIENTE DE ATENDER,
